"over_text","spread_text","game_id"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 45.5,Line: KC -1.5,"401671799"
Over/Under: 47.5,Line: BAL -6.5,"401671800"
Over/Under: 42.5,Line: SEA -4.5,"401671876"
Over/Under: 41.5,Line: LAC -5.5,"401671832"
Over/Under: 50.5,Line: CIN -3.5,"401671835"
Over/Under: 48.5,Line: LAR -6.5,"401671829"
Over/Under: 44.5,Line: BUF -10.5,"401671495"
Over/Under: 37.5,Line: LV -2.5,"401671738"
Over/Under: 40.5,Line: IND -7.5,"401671846"
Over/Under: 37.5,Line: PHI -7.5,"401671765"
Over/Under: 47.5,Line: TB -9.5,"401671653"
Over/Under: 38.5,Line: TEN -1.5,"401671634"
Over/Under: 32.5,Line: MIA -3.5,"401671877"
Over/Under: 48.5,Line: GB -0.5,"401671725"
Over/Under: 46.5,Line: WSH -3.5,"401671842"
Over/Under: 50.5,Line: DET -3.5,"401671698"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 41.5,Line: BAL -20.5,"401671834"
Over/Under: 48.5,Line: CIN -2.5,"401671836"
Over/Under: 48.5,Line: ATL -7.5,"401671827"
Over/Under: 43.5,Line: WSH -7.5,"401671840"
Over/Under: 41.5,Line: GB -10.5,"401671844"
Over/Under: 36.5,Line: TEN -2.5,"401671826"
Over/Under: 45.5,Line: IND -3.5,"401671837"
Over/Under: 36.5,Line: BUF -3.5,"401671831"
Over/Under: 35.5,Line: PHI -2.5,"401671841"
Over/Under: 44.5,Line: TB -14.5,"401671828"
Over/Under: 40.5,Line: DEN -11.5,"401671838"
Over/Under: 41.5,Line: LAC -6.5,"401671839"
Over/Under: 38.5,Line: SEA -7.5,"401671830"
Over/Under: 39.5,Line: NYJ -2.5,"401671833"
Over/Under: 42.5,Line: ARI -4.5,"401671845"
Over/Under: 56.5,Line: DET -2.5,"401671843"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 48.5,Line: DET -10,"401671492"
Over/Under: 39.5,Line: DAL -4.5,"401671779"
Over/Under: 47.5,Line: GB -3.5,"401671798"
Over/Under: 41.5,Line: KC -13.5,"401671806"
Over/Under: 47.5,Line: LAC -0.5,"401671649"
Over/Under: 46.5,Line: CIN -3.5,"401671627"
Over/Under: 45.5,Line: MIN -3.5,"401671726"
Over/Under: 41.5,Line: IND -2.5,"401671620"
Over/Under: 41.5,Line: NYJ -1.5,"401671703"
Over/Under: 45.5,Line: WSH -5.5,"401671743"
Over/Under: 44.5,Line: HOU -3.5,"401671705"
Over/Under: 48.5,Line: LAR -2.5,"401671753"
Over/Under: 46.5,Line: TB -6.5,"401671752"
Over/Under: 51.5,Line: BAL -3.5,"401671666"
Over/Under: 44.5,Line: BUF -6.5,"401671781"
Over/Under: 41.5,Line: DEN -6.5,"401671686"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 53.5,Line: DET -3.5,"401671814"
Over/Under: 40.5,Line: TEN -3.5,"401671821"
Over/Under: 45.5,Line: MIA -6.5,"401671848"
Over/Under: 46.5,Line: MIN -5.5,"401671648"
Over/Under: 41.5,Line: NO -5.5,"401671601"
Over/Under: 44.5,Line: PHI -13.5,"401671713"
Over/Under: 42.5,Line: PIT -6.5,"401671631"
Over/Under: 47.5,Line: TB -6.5,"401671654"
Over/Under: 45.5,Line: ARI -3.5,"401671660"
Over/Under: 50.5,Line: BUF -3.5,"401671773"
Over/Under: 43.5,Line: SF -3.5,"401671774"
Over/Under: 43.5,Line: KC -5.5,"401671788"
Over/Under: 50.5,Line: CIN -4.5,"401671690"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 48.5,Line: SF -2.5,"401671818"
Over/Under: 41.5,Line: KC -3.5,"401671854"
Over/Under: 46.5,Line: CIN -6.5,"401671825"
Over/Under: 44.5,Line: WSH -7.5,"401671737"
Over/Under: 43.5,Line: BAL -16.5,"401671639"
Over/Under: 41.5,Line: CAR -2.5,"401671731"
Over/Under: 41.5,Line: NYJ -3.5,"401671706"
Over/Under: 46.5,Line: HOU -2.5,"401671860"
Over/Under: 43.5,Line: DEN -3.5,"401671669"
Over/Under: 55.5,Line: DET -2.5,"401671681"
Over/Under: 43.5,Line: PHI -5.5,"401671766"
Over/Under: 46.5,Line: ARI -5.5,"401671677"
Over/Under: 45.5,Line: LAC -3,"401671762"
Over/Under: 48.5,Line: GB -2.5,"401671796"
Over/Under: 43.5,Line: MIN -6.5,"401671489"
Over/Under: 43.5,Line: ATL -5.5,"401671697"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 41.5,Line: LAC -2.5,"401671749"
Over/Under: 42.5,Line: KC -3.5,"401671780"
Over/Under: 45.5,Line: BAL -7.5,"401671778"
Over/Under: 43.5,Line: ATL -9.5,"401671729"
Over/Under: 47.5,Line: DET -6.5,"401671868"
Over/Under: 46.5,Line: CIN -10.5,"401671811"
Over/Under: 43.5,Line: IND -4.5,"401671862"
Over/Under: 46.5,Line: LAR -2.5,"401671621"
Over/Under: 47.5,Line: PHI -4.5,"401671717"
Over/Under: 47.5,Line: ARI -5.5,"401671732"
Over/Under: 43.5,Line: MIN -2.5,"401671759"
Over/Under: 47.5,Line: BUF -14.5,"401671494"
Over/Under: 41.5,Line: LV -2.5,"401671673"
Over/Under: 44.5,Line: SF -1.5,"401671874"
Over/Under: 47.5,Line: TB -4.5,"401671790"
Over/Under: 43.5,Line: GB -14.5,"401671692"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 45.5,Line: KC -1.5,"401671799"
Over/Under: 47.5,Line: BAL -6.5,"401671800"
Over/Under: 42.5,Line: SEA -4.5,"401671876"
Over/Under: 41.5,Line: LAC -5.5,"401671832"
Over/Under: 50.5,Line: CIN -3.5,"401671835"
Over/Under: 48.5,Line: LAR -6.5,"401671829"
Over/Under: 44.5,Line: BUF -10.5,"401671495"
Over/Under: 37.5,Line: LV -2.5,"401671738"
Over/Under: 40.5,Line: IND -7.5,"401671846"
Over/Under: 37.5,Line: PHI -7.5,"401671765"
Over/Under: 47.5,Line: TB -9.5,"401671653"
Over/Under: 38.5,Line: TEN -1.5,"401671634"
Over/Under: 32.5,Line: MIA -3.5,"401671877"
Over/Under: 48.5,Line: GB -0.5,"401671725"
Over/Under: 46.5,Line: WSH -3.5,"401671842"
Over/Under: 50.5,Line: DET -3.5,"401671698"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 41.5,Line: BAL -20.5,"401671834"
Over/Under: 48.5,Line: CIN -2.5,"401671836"
Over/Under: 48.5,Line: ATL -7.5,"401671827"
Over/Under: 43.5,Line: WSH -7.5,"401671840"
Over/Under: 41.5,Line: GB -10.5,"401671844"
Over/Under: 36.5,Line: TEN -2.5,"401671826"
Over/Under: 45.5,Line: IND -3.5,"401671837"
Over/Under: 36.5,Line: BUF -3.5,"401671831"
Over/Under: 35.5,Line: PHI -2.5,"401671841"
Over/Under: 44.5,Line: TB -14.5,"401671828"
Over/Under: 40.5,Line: DEN -11.5,"401671838"
Over/Under: 41.5,Line: LAC -6.5,"401671839"
Over/Under: 38.5,Line: SEA -7.5,"401671830"
Over/Under: 39.5,Line: NYJ -2.5,"401671833"
Over/Under: 42.5,Line: ARI -4.5,"401671845"
Over/Under: 56.5,Line: DET -2.5,"401671843"
Over/Under: 48.5,Line: KC -1.5,"401671889"
Over/Under: 48.5,Line: SF -3.5,"401671819"
Over/Under: 44.5,Line: JAX -1.5,"401671802"
Over/Under: 46.5,Line: GB -6.5,"401671722"
Over/Under: 41.5,Line: TEN -2.5,"401671820"
Over/Under: 39.5,Line: HOU -6.5,"401671619"
Over/Under: 42.5,Line: TB -3.5,"401671735"
Over/Under: 42.5,Line: PHI -8.5,"401671714"
Over/Under: 50.5,Line: BAL -7.5,"401671625"
Over/Under: 37.5,Line: LAC -2.5,"401671655"
Over/Under: 36.5,Line: PIT -3.5,"401671657"
Over/Under: 52.5,Line: DET -3.5,"401671764"
