name,id,team,position,height,weight,age,college,jersey,experience
Aaron Brewer,15241,Arizona Cardinals,LS,"6' 5""",232 lbs,34,San Diego State,46,13
Blake Gillikin,4045180,Arizona Cardinals,P,"6' 2""",196 lbs,27,Penn State,12,5
Chad Ryland,4363538,Arizona Cardinals,PK,"6' 0""",195 lbs,25,Maryland,38,2
Younghoe Koo,3049899,Atlanta Falcons,PK,"5' 10""",193 lbs,30,Georgia Southern,6,7
Lenny Krieg,5277116,Atlanta Falcons,PK,"6' 1""",210 lbs,22,na,na,0
Liam McCullough,3915528,Atlanta Falcons,LS,"6' 2""",247 lbs,27,Ohio State,49,3
Bradley Pinion,2977680,Atlanta Falcons,P,"6' 5""",255 lbs,30,Clemson,13,10
Nick Moore,3915184,Baltimore Ravens,LS,"6' 2""",260 lbs,32,Georgia,46,3
Jordan Stout,4260224,Baltimore Ravens,P,"6' 3""",209 lbs,26,Penn State,11,3
Justin Tucker,15683,Baltimore Ravens,PK,"6' 1""",191 lbs,35,Texas,9,13
Tyler Bass,3917232,Buffalo Bills,PK,"5' 10""",183 lbs,28,Georgia Southern,2,5
Jake Camarda,4379396,Buffalo Bills,P,"6' 1""",193 lbs,25,Georgia,na,3
Reid Ferguson,2976549,Buffalo Bills,LS,"6' 2""",235 lbs,31,LSU,69,8
Brad Robbins,4258197,Buffalo Bills,P,"6' 1""",205 lbs,26,Michigan,na,2
JJ Jansen,11759,Carolina Panthers,LS,"6' 2""",235 lbs,39,Notre Dame,44,17
Sam Martin,15928,Carolina Panthers,P,"6' 1""",211 lbs,35,App State,na,12
Matthew Wright,3128444,Carolina Panthers,PK,"5' 11""",174 lbs,29,UCF,na,3
Scott Daly,2980138,Chicago Bears,LS,"6' 1""",245 lbs,31,Notre Dame,46,4
Cairo Santos,17427,Chicago Bears,PK,"5' 8""",175 lbs,33,Tulane,8,11
Tory Taylor,4686889,Chicago Bears,P,"6' 4""",223 lbs,27,Iowa,19,0
Cal Adomitis,4240719,Cincinnati Bengals,LS,"6' 2""",238 lbs,26,Pittsburgh,48,3
Evan McPherson,4360234,Cincinnati Bengals,PK,"5' 11""",185 lbs,25,Florida,2,4
Ryan Rehkow,4608820,Cincinnati Bengals,P,"6' 5""",235 lbs,26,BYU,8,0
Corey Bojorquez,4039396,Cleveland Browns,P,"6' 0""",217 lbs,28,New Mexico,13,7
Dustin Hopkins,15965,Cleveland Browns,PK,"6' 2""",210 lbs,34,Florida State,7,11
Rex Sunahara,3913293,Cleveland Browns,LS,"6' 6""",242 lbs,28,West Virginia,50,1
Andre Szmyt,4258620,Cleveland Browns,PK,"6' 0""",200 lbs,26,Syracuse,10,1
Bryan Anger,14950,Dallas Cowboys,P,"6' 3""",202 lbs,36,California,5,13
Brandon Aubrey,3953687,Dallas Cowboys,PK,"6' 3""",218 lbs,30,Notre Dame,17,2
Trent Sieg,3052357,Dallas Cowboys,LS,"6' 3""",240 lbs,29,Colorado State,44,7
